RollNo,Marks
1141,82
1204,54
1239,49
1517,59
1535,36
1550,62
1607,61
1621,77
1679,55
1843,51
1863,73
2042,73
2054,72
2078,52
2131,57
2170,61
2187,56
2208,87
2297,69
2440,53
2474,60
2542,48
2711,49
3341,59
3509,78
3631,71
3760,58
3923,47
4109,75
4498,35
4889,21
4915,37
4970,35
5074,65
5343,59
5374,50
5380,50
5475,55
5542,58
5764,54
5931,57
6118,54
6250,47
6341,72
6417,50
6436,93
6446,66
6447,56
6456,60
6539,46
6617,79
6658,65
6924,36
7051,71
7069,60
7151,75
7210,47
7498,78
7586,63
7641,28
7664,84
7706,66
7836,51
7839,65
7845,86
8054,67
8066,90
8102,58
8115,52
8117,81
8165,47
8191,56
8396,68
8419,46
8442,59
8620,73
8757,76
8771,53
8794,54
8824,43
9023,50
9052,66
9173,46
9241,49
9500,51
9596,73
9993,78
9994,38
