RollNo,C1,C2,C3,Average
1141,82,83,54,73.0
1204,54,58,71,61.0
1239,49,61,63,57.67
1517,59,100,71,76.67
1535,36,38,59,44.33
1550,62,76,66,68.0
1607,61,49,61,57.0
1621,77,-1,45,61.0
1679,55,79,56,63.33
1843,51,61,-1,56.0
1863,73,-1,84,78.5
2042,73,42,-1,57.5
2054,72,70,57,66.33
2078,52,83,-1,67.5
2131,57,45,51,51.0
2170,61,72,52,61.67
2187,56,46,70,57.33
2208,87,42,76,68.33
2297,69,30,44,47.67
2440,53,69,61,61.0
2474,60,54,60,58.0
2542,48,75,57,60.0
2711,49,76,66,63.67
2933,-1,43,79,61.0
3341,59,91,49,66.33
3509,78,52,65,65.0
3591,-1,82,80,81.0
3631,71,58,64,64.33
3760,58,85,37,60.0
3923,47,70,53,56.67
4109,75,46,86,69.0
4498,35,62,65,54.0
4889,21,61,41,41.0
4915,37,53,36,42.0
4970,35,54,62,50.33
5074,65,-1,62,63.5
5120,-1,-1,51,51.0
5343,59,54,67,60.0
5374,50,58,73,60.33
5380,50,57,65,57.33
5475,55,50,-1,52.5
5542,58,76,-1,67.0
5764,54,71,58,61.0
5931,57,53,89,66.33
6118,54,-1,48,51.0
6250,47,83,-1,65.0
6341,72,47,51,56.67
6417,50,65,48,54.33
6436,93,52,36,60.33
6446,66,-1,91,78.5
6447,56,70,60,62.0
6456,60,40,84,61.33
6539,46,61,56,54.33
6617,79,-1,-1,79.0
6658,65,85,52,67.33
6924,36,71,39,48.67
7051,71,-1,-1,71.0
7069,60,49,22,43.67
7151,75,55,100,76.67
7210,47,-1,48,47.5
7498,78,53,100,77.0
7586,63,52,84,66.33
7589,-1,65,68,66.5
7593,-1,-1,66,66.0
7641,28,75,62,55.0
7664,84,68,-1,76.0
7689,-1,65,74,69.5
7706,66,14,68,49.33
7836,51,41,53,48.33
7839,65,71,-1,68.0
7845,86,76,65,75.67
8043,-1,63,80,71.5
8054,67,42,86,65.0
8066,90,51,65,68.67
8102,58,46,40,48.0
8115,52,60,49,53.67
8117,81,65,47,64.33
8165,47,67,57,57.0
8191,56,46,89,63.67
8273,-1,40,92,66.0
8396,68,89,-1,78.5
8419,46,61,28,45.0
8442,59,48,-1,53.5
8620,73,47,57,59.0
8757,76,39,-1,57.5
8771,53,48,83,61.33
8794,54,82,67,67.67
8824,43,51,56,50.0
9023,50,42,71,54.33
9052,66,65,57,62.67
9173,46,39,62,49.0
9241,49,61,61,57.0
9478,-1,-1,71,71.0
9500,51,54,61,55.33
9566,-1,51,48,49.5
9596,73,59,66,66.0
9993,78,81,-1,79.5
9994,38,48,53,46.33
